yellow 8.obj -4.538855671882629395e-01 -1.674339547753334045e-02 2.599896490573883057e-02 1.569804906845092773e+00 -5.015395879745483398e-01 -1.571069240570068359e+00
block 1.obj -4.659068107604980469e-01 7.698099128901958466e-03 2.598643302917480469e-02 -1.570837140083312988e+00 1.084242105484008789e+00 -3.141483068466186523e+00
block 1.obj -4.425853312015533447e-01 -3.888086974620819092e-02 2.599379792809486389e-02 -1.570276498794555664e+00 1.084977507591247559e+00 -6.821056012995541096e-04
block 3.obj -4.264057695865631104e-01 -2.727118786424398422e-03 6.549828499555587769e-02 1.570773363113403320e+00 4.401076734066009521e-01 -1.570844173431396484e+00
block 3.obj -4.740694880485534668e-01 -2.523224055767059326e-02 6.549701094627380371e-02 1.570601940155029297e+00 4.263083040714263916e-01 -1.570378541946411133e+00
block 3.obj -4.461648881435394287e-01 -1.770307868719100952e-02 9.249952435493469238e-02 1.570497155189514160e+00 3.857863545417785645e-01 -1.570580959320068359e+00
block 1.obj -3.659068107604980469e-01 -9.230190087e-02 2.598643302917480469e-02 -1.570837140083312988e+00 1.084242105484008789e+00 -3.141483068466186523e+00
block 1.obj -3.425853312015533447e-01 -1.3888086974620819092e-01 2.599379792809486389e-02 -1.570276498794555664e+00 1.084977507591247559e+00 -6.821056012995541096e-04
block 3.obj -3.264057695865631104e-01 -1.02727118786424398422e-01 6.549828499555587769e-02 1.570773363113403320e+00 4.401076734066009521e-01 -1.570844173431396484e+00
block 3.obj -3.740694880485534668e-01 -1.2523224055767059326e-01 6.549701094627380371e-02 1.570601940155029297e+00 4.263083040714263916e-01 -1.570378541946411133e+00
block 3.obj -3.461648881435394287e-01 -1.1770307868719100952e-01 9.249952435493469238e-02 1.570497155189514160e+00 3.857863545417785645e-01 -1.570580959320068359e+00
block 1.obj -6.159068107604980469e-01 1.07698099128901958466e-01 2.598643302917480469e-02 -1.570837140083312988e+00 1.084242105484008789e+00 -3.141483068466186523e+00
block 1.obj -5.925853312015533447e-01 6.111913025e-02 2.599379792809486389e-02 -1.570276498794555664e+00 1.084977507591247559e+00 -6.821056012995541096e-04
block 3.obj -5.764057695865631104e-01 9.727288121e-02 6.549828499555587769e-02 1.570773363113403320e+00 4.401076734066009521e-01 -1.570844173431396484e+00
block 3.obj -6.240694880485534668e-01 7.476775944e-02 6.549701094627380371e-02 1.570601940155029297e+00 4.263083040714263916e-01 -1.570378541946411133e+00
block 3.obj -5.961648881435394287e-01 8.229692131e-02 9.249952435493469238e-02 1.570497155189514160e+00 3.857863545417785645e-01 -1.570580959320068359e+00
block 2.obj -6.305959820747375488e-01 -1.519676595926284790e-01 1.349955238401889801e-02 -1.570796012878417969e+00 -1.209972500801086426e+00 -1.570794105529785156e+00
block 4.obj -5.677162408828735352e-01 -1.873076260089874268e-01 2.599126100540161133e-02 -1.571459412574768066e+00 2.155814021825790405e-01 -3.139455556869506836e+00
block 4.obj -3.864508569240570068e-01 8.387850224971771240e-02 2.599372901022434235e-02 -1.581701278686523438e+00 1.494745492935180664e+00 -3.131149053573608398e+00
block 6.obj -3.891783356666564941e-01 1.524517238140106201e-01 1.350002270191907883e-02 -1.570751190185546875e+00 -1.502007007598876953e+00 -1.570716500282287598e+00
